City,Cuisine,count
Budapest,"[ 'American', 'International' ]",1
Budapest,"[ 'Bar', 'European', 'Pub', 'Central European', 'Grill' ]",1
Budapest,"[ 'Bar', 'Pub', 'Middle Eastern', 'Hungarian' ]",1
Copenhagen,"[ 'Fast Food', 'European', 'Vegetarian Friendly', 'Vegan Options' ]",1
Copenhagen,"[ 'Brew Pub', 'European', 'Pub', 'Danish' ]",1
Copenhagen,"[ 'Sushi', 'International' ]",1
Dublin,"[ 'Irish', 'Bar', 'European', 'Vegetarian Friendly', 'Gluten Free Options' ]",2
Dublin,"[ 'Italian', 'Mexican', 'European', 'Vegetarian Friendly', 'Gluten Free Options' ]",1
Edinburgh,"[ 'African', 'Cafe', 'Delicatessen', 'Gluten Free Options' ]",1
Edinburgh,"[ 'Mediterranean', 'European', 'Spanish', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",2
Edinburgh,"[ 'French', 'European', 'British', 'Vegetarian Friendly', 'Gluten Free Options' ]",1
Edinburgh,"[ 'Italian', 'Pizza', 'Vegetarian Friendly', 'Gluten Free Options' ]",6
Edinburgh,"[ 'American', 'Vegetarian Friendly', 'Gluten Free Options' ]",2
Edinburgh,"[ 'Fast Food', 'Barbecue', 'British', 'Scottish' ]",1
Edinburgh,[ 'European' ],6
Edinburgh,"[ 'Bar', 'Pub', 'American', 'International' ]",1
Edinburgh,"[ 'Cafe', 'British', 'Healthy', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",1
Edinburgh,"[ 'Contemporary', 'European', 'Vegetarian Friendly' ]",1
Hamburg,"[ 'American', 'Steakhouse', 'Barbecue', 'European', 'Vegetarian Friendly' ]",1
Hamburg,"[ 'Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options' ]",2
Hamburg,"[ 'German', 'Bar', 'European', 'Pub', 'Central European' ]",1
Hamburg,[ 'Spanish' ],14
Hamburg,"[ 'American', 'German', 'International', 'Turkish' ]",1
Helsinki,"[ 'European', 'Turkish', 'Middle Eastern', 'Pizza', 'Vegetarian Friendly' ]",2
Helsinki,"[ 'Bar', 'Pub', 'International' ]",1
Krakow,"[ 'Brazilian', 'South American' ]",1
Lisbon,"[ 'Portuguese', 'Gluten Free Options' ]",1
Lisbon,"[ 'Bar', 'Pub' ]",13
Lisbon,"[ 'French', 'European', 'Pub', 'Bar', 'Cafe', 'Mediterranean', 'Wine Bar', 'Vegetarian Friendly' ]",1
Lisbon,"[ 'European', 'Delicatessen', 'Portuguese' ]",1
Lisbon,"[ 'French', 'Brazilian', 'European', 'Portuguese', 'Mediterranean', 'South American' ]",1
Lisbon,"[ 'Cafe', 'Fast Food', 'European', 'Portuguese' ]",2
Lisbon,"[ 'European', 'Portuguese', 'Italian', 'Pizza' ]",2
Lisbon,"[ 'Asian', 'Vietnamese' ]",1
Ljubljana,"[ 'Barbecue', 'European', 'Eastern European', 'Central European' ]",2
Ljubljana,"[ 'Soups', 'International', 'Healthy', 'Slovenian' ]",1
London,"[ 'French', 'European', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options' ]",11
